customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PhoneService,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
CUST00031,Male,0,Yes,Yes,70,One year,Fiber optic,Yes,Credit card,Yes,60.32,4139.78,No
CUST00032,Male,0,Yes,No,38,Month-to-month,No,Yes,Mailed check,No,18.0,593.84,No
CUST00033,Female,0,Yes,Yes,30,Two year,DSL,Yes,Bank transfer,Yes,70.47,2047.11,No
CUST00034,Female,0,No,No,49,Month-to-month,No,Yes,Electronic check,No,20.25,1044.13,No
CUST00035,Female,0,Yes,Yes,15,Month-to-month,Fiber optic,Yes,Mailed check,No,67.69,1006.6,No
CUST00036,Male,0,No,Yes,71,Month-to-month,DSL,Yes,Bank transfer,Yes,67.74,4815.91,No
CUST00037,Female,1,Yes,No,50,One year,DSL,Yes,Electronic check,No,76.45,3920.18,No
CUST00038,Male,0,No,Yes,14,Month-to-month,Fiber optic,Yes,Electronic check,No,84.95,1082.74,No
CUST00039,Male,1,Yes,Yes,37,Month-to-month,Fiber optic,Yes,Mailed check,No,77.43,2707.31,No
CUST00040,Male,0,Yes,No,70,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,80.44,5693.6,No
CUST00041,Male,0,No,Yes,71,Two year,DSL,Yes,Mailed check,Yes,71.51,4978.7,No
CUST00042,Male,0,Yes,Yes,20,Two year,DSL,Yes,Mailed check,Yes,74.15,1440.84,No
CUST00043,Female,0,No,No,15,Month-to-month,Fiber optic,Yes,Electronic check,Yes,64.44,941.02,No
CUST00044,Female,0,Yes,Yes,66,Month-to-month,DSL,Yes,Credit card,Yes,41.18,2706.23,No
CUST00045,Female,0,Yes,No,64,Month-to-month,DSL,Yes,Bank transfer,No,63.83,3923.61,No
CUST00046,Female,0,No,Yes,12,Month-to-month,DSL,Yes,Mailed check,No,78.31,931.87,No
CUST00047,Female,1,No,Yes,63,Two year,DSL,Yes,Electronic check,Yes,60.57,3957.19,No
CUST00048,Male,0,Yes,No,60,One year,Fiber optic,Yes,Mailed check,No,64.25,3830.02,No
CUST00049,Female,0,No,No,31,Month-to-month,DSL,Yes,Mailed check,No,54.89,1718.84,Yes
CUST00050,Female,0,No,Yes,11,Two year,No,Yes,Electronic check,Yes,21.64,310.42,Yes
CUST00051,Male,0,No,No,40,Month-to-month,Fiber optic,Yes,Mailed check,Yes,69.18,2869.32,No
CUST00052,Female,0,Yes,Yes,65,Month-to-month,Fiber optic,Yes,Electronic check,No,59.98,4000.33,No
CUST00053,Male,0,Yes,Yes,7,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,67.83,437.17,Yes
CUST00054,Female,1,No,No,58,Month-to-month,Fiber optic,Yes,Credit card,Yes,76.58,4486.7,Yes
CUST00055,Male,0,No,Yes,24,Month-to-month,Fiber optic,Yes,Electronic check,No,64.06,1674.54,No
CUST00056,Female,0,No,No,4,One year,DSL,Yes,Mailed check,No,57.62,200.77,No
CUST00057,Female,0,Yes,Yes,44,Month-to-month,DSL,Yes,Bank transfer,Yes,64.8,2973.11,No
CUST00058,Male,0,Yes,No,1,Month-to-month,Fiber optic,No,Credit card,No,84.11,46.64,Yes
CUST00059,Male,0,No,No,41,Two year,DSL,Yes,Mailed check,Yes,53.16,2188.44,No
CUST00060,Male,0,Yes,No,37,Two year,DSL,Yes,Credit card,No,95.0,3690.44,No
CUST00061,Male,0,Yes,Yes,2,One year,Fiber optic,Yes,Credit card,Yes,82.62,83.68,No
CUST00062,Male,0,Yes,No,45,One year,Fiber optic,Yes,Mailed check,Yes,75.37,3214.1,No
CUST00063,Male,0,No,No,21,Two year,Fiber optic,Yes,Electronic check,No,79.61,1718.67,No
CUST00064,Male,0,Yes,No,32,One year,No,Yes,Bank transfer,Yes,31.62,1088.6,No
CUST00065,Male,0,No,No,31,Month-to-month,DSL,No,Electronic check,No,78.1,2391.63,Yes
CUST00066,Female,0,No,No,16,Month-to-month,No,No,Mailed check,No,37.68,585.04,Yes
CUST00067,Female,0,No,No,55,Month-to-month,Fiber optic,Yes,Mailed check,Yes,91.13,5072.55,Yes
CUST00068,Male,1,Yes,No,2,Month-to-month,DSL,Yes,Mailed check,Yes,74.82,102.86,No
CUST00069,Female,1,Yes,No,69,Month-to-month,No,Yes,Electronic check,Yes,18.19,1220.1,No
CUST00070,Female,0,No,No,48,One year,Fiber optic,Yes,Bank transfer,No,83.7,4085.84,No
CUST00071,Female,0,No,Yes,54,Month-to-month,DSL,No,Credit card,Yes,63.55,3507.27,Yes
CUST00072,Female,0,No,No,30,Month-to-month,DSL,No,Electronic check,No,64.91,1946.85,No
CUST00073,Male,0,No,No,20,Month-to-month,Fiber optic,Yes,Mailed check,Yes,77.62,1489.08,No
CUST00074,Female,1,No,No,15,Month-to-month,Fiber optic,Yes,Mailed check,Yes,98.17,1537.43,Yes
CUST00075,Male,0,No,Yes,16,Two year,No,Yes,Electronic check,No,18.0,312.29,Yes
CUST00076,Female,1,Yes,No,0,One year,DSL,Yes,Mailed check,No,64.46,0.0,No
CUST00077,Female,1,Yes,No,71,Two year,Fiber optic,No,Bank transfer,No,105.35,7406.53,No
CUST00078,Female,0,No,No,64,Month-to-month,DSL,Yes,Mailed check,No,54.49,3452.3,No
CUST00079,Male,0,Yes,No,65,Month-to-month,Fiber optic,Yes,Mailed check,Yes,61.44,4104.4,No
CUST00080,Female,0,No,No,36,One year,No,Yes,Mailed check,Yes,18.0,568.44,No
CUST00081,Male,1,Yes,No,23,Month-to-month,Fiber optic,No,Mailed check,Yes,85.81,2127.49,Yes
CUST00082,Female,0,No,Yes,61,Month-to-month,Fiber optic,Yes,Electronic check,No,96.31,5978.88,No
CUST00083,Male,1,Yes,Yes,20,Month-to-month,Fiber optic,Yes,Mailed check,No,40.92,872.15,No
CUST00084,Female,0,Yes,Yes,36,Two year,DSL,Yes,Electronic check,Yes,47.58,1673.34,No
CUST00085,Male,0,No,Yes,34,Two year,No,Yes,Bank transfer,No,18.0,782.27,Yes
CUST00086,Male,1,Yes,No,37,Month-to-month,Fiber optic,Yes,Electronic check,No,86.52,3199.73,Yes
CUST00087,Female,0,Yes,No,52,Month-to-month,Fiber optic,Yes,Bank transfer,No,63.38,3245.22,No
CUST00088,Male,0,Yes,No,14,One year,No,Yes,Credit card,No,18.0,217.87,No
CUST00089,Female,0,No,No,41,Month-to-month,Fiber optic,Yes,Electronic check,No,89.7,3553.75,No
CUST00090,Female,0,No,No,3,Month-to-month,Fiber optic,Yes,Credit card,Yes,103.43,233.23,Yes
CUST00091,Female,0,No,No,38,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,87.4,3260.18,Yes
CUST00092,Female,0,Yes,No,22,Month-to-month,DSL,Yes,Electronic check,Yes,73.95,1615.62,Yes
CUST00093,Female,1,No,Yes,14,Month-to-month,Fiber optic,Yes,Credit card,Yes,80.15,1105.29,No
CUST00094,Female,1,Yes,No,11,Month-to-month,No,Yes,Bank transfer,Yes,34.19,260.47,Yes
CUST00095,Female,0,No,Yes,69,Two year,DSL,Yes,Mailed check,Yes,47.62,3255.37,No
CUST00096,Female,0,No,No,53,Month-to-month,Fiber optic,Yes,Credit card,Yes,80.7,4255.31,No
CUST00097,Female,0,No,No,37,Month-to-month,DSL,Yes,Electronic check,Yes,81.57,2980.2,Yes
CUST00098,Female,0,No,No,27,One year,DSL,Yes,Bank transfer,Yes,66.09,1802.09,No
CUST00099,Female,1,No,Yes,18,Month-to-month,Fiber optic,Yes,Electronic check,Yes,89.03,1630.95,Yes
CUST00100,Male,0,No,No,68,Two year,Fiber optic,Yes,Mailed check,Yes,77.45,5310.99,No
CUST00101,Male,0,Yes,No,63,Month-to-month,Fiber optic,No,Electronic check,Yes,99.96,6187.01,No
CUST00102,Female,0,No,Yes,3,Two year,No,Yes,Bank transfer,Yes,29.23,12.28,Yes
CUST00103,Female,0,Yes,Yes,9,Month-to-month,Fiber optic,Yes,Mailed check,No,82.56,692.92,No
CUST00104,Female,0,Yes,No,11,Two year,DSL,No,Electronic check,Yes,62.43,748.67,Yes
CUST00105,Female,0,Yes,Yes,68,One year,Fiber optic,Yes,Electronic check,Yes,97.98,6680.85,No
CUST00106,Female,0,Yes,No,6,Two year,No,Yes,Bank transfer,Yes,19.53,102.54,No
CUST00107,Female,0,Yes,No,43,One year,DSL,Yes,Mailed check,Yes,67.97,2910.21,No
CUST00108,Female,0,No,No,22,One year,Fiber optic,Yes,Bank transfer,Yes,65.49,1540.69,No
CUST00109,Female,0,Yes,Yes,1,One year,DSL,Yes,Mailed check,Yes,68.84,194.21,No
CUST00110,Male,0,Yes,No,36,Two year,DSL,No,Mailed check,No,48.97,1747.82,No
CUST00111,Female,0,No,No,68,Two year,No,No,Credit card,Yes,31.95,2125.5,Yes
CUST00112,Male,0,Yes,Yes,19,Month-to-month,No,Yes,Credit card,No,23.74,278.87,Yes
CUST00113,Female,0,No,Yes,43,Month-to-month,DSL,Yes,Credit card,No,49.47,2160.79,No
CUST00114,Female,0,No,Yes,69,Month-to-month,No,Yes,Credit card,Yes,32.17,2223.48,No
CUST00115,Male,0,No,No,50,Month-to-month,DSL,Yes,Electronic check,Yes,87.7,4458.35,No
CUST00116,Female,1,No,No,30,Two year,Fiber optic,Yes,Electronic check,Yes,72.62,2255.8,No
CUST00117,Male,1,Yes,Yes,40,Month-to-month,Fiber optic,Yes,Electronic check,Yes,82.26,3280.63,Yes
CUST00118,Female,0,Yes,No,57,Month-to-month,Fiber optic,Yes,Credit card,Yes,63.73,3525.69,No
CUST00119,Female,1,Yes,No,4,One year,No,Yes,Mailed check,Yes,26.48,213.85,No
CUST00120,Male,0,No,No,32,Two year,Fiber optic,Yes,Electronic check,No,65.48,2035.98,No
CUST00121,Female,0,Yes,No,42,One year,Fiber optic,Yes,Mailed check,No,88.64,3835.44,Yes
CUST00122,Male,0,Yes,Yes,18,Month-to-month,No,Yes,Bank transfer,No,22.36,459.36,No
CUST00123,Female,0,Yes,Yes,31,Two year,DSL,No,Electronic check,Yes,60.84,1730.47,No
CUST00124,Male,0,No,No,2,Month-to-month,Fiber optic,Yes,Mailed check,Yes,64.38,95.68,Yes
CUST00125,Male,0,Yes,Yes,0,Two year,Fiber optic,Yes,Electronic check,No,93.35,0.0,No
CUST00126,Female,0,No,No,40,Month-to-month,No,Yes,Credit card,No,18.0,484.49,No
CUST00127,Female,0,Yes,No,47,Month-to-month,Fiber optic,Yes,Electronic check,Yes,61.12,2760.02,No
CUST00128,Male,0,Yes,No,38,Two year,No,Yes,Bank transfer,No,18.0,559.15,No
CUST00129,Female,1,Yes,No,4,One year,Fiber optic,Yes,Credit card,No,60.2,314.13,Yes
CUST00130,Female,0,No,No,10,Month-to-month,DSL,Yes,Credit card,Yes,56.86,519.63,No
CUST00131,Female,0,No,No,21,One year,No,No,Mailed check,No,19.13,388.53,No
CUST00132,Male,0,Yes,No,63,Month-to-month,Fiber optic,Yes,Electronic check,No,113.72,7163.55,No
CUST00133,Male,0,Yes,No,11,Month-to-month,Fiber optic,Yes,Credit card,Yes,73.53,984.86,No
CUST00134,Male,0,No,No,52,One year,No,Yes,Electronic check,No,19.59,1019.17,No
CUST00135,Male,0,Yes,No,54,Two year,Fiber optic,Yes,Bank transfer,No,81.53,4355.36,No
CUST00136,Male,0,Yes,Yes,52,Two year,Fiber optic,Yes,Credit card,No,78.5,4029.11,No
CUST00137,Male,0,Yes,Yes,20,Month-to-month,Fiber optic,Yes,Credit card,Yes,101.91,2002.45,No
CUST00138,Male,0,Yes,No,18,One year,Fiber optic,Yes,Electronic check,Yes,75.69,1396.36,No
CUST00139,Male,0,Yes,No,68,Month-to-month,Fiber optic,Yes,Mailed check,No,80.81,5468.96,No
CUST00140,Male,0,Yes,No,71,Month-to-month,Fiber optic,Yes,Mailed check,No,88.43,6200.42,No
CUST00141,Female,0,Yes,No,65,Month-to-month,No,Yes,Credit card,Yes,36.05,2347.52,No
CUST00142,Male,0,No,Yes,58,Two year,Fiber optic,Yes,Mailed check,Yes,70.17,4166.53,No
CUST00143,Female,0,Yes,No,48,Month-to-month,DSL,Yes,Mailed check,No,78.48,3776.34,No
CUST00144,Female,1,No,No,58,Month-to-month,Fiber optic,Yes,Electronic check,Yes,90.47,5200.08,No
CUST00145,Female,1,Yes,No,22,One year,DSL,Yes,Credit card,Yes,85.46,1893.79,No
CUST00146,Male,1,No,No,2,Month-to-month,Fiber optic,Yes,Electronic check,Yes,74.42,0.0,Yes
CUST00147,Male,0,Yes,No,55,Two year,DSL,Yes,Credit card,No,63.27,3459.26,No
CUST00148,Male,0,No,No,57,Month-to-month,DSL,Yes,Credit card,Yes,75.63,4239.32,No
CUST00149,Male,0,Yes,No,61,One year,No,Yes,Electronic check,Yes,28.03,1561.27,No
CUST00150,Female,0,No,No,17,Month-to-month,Fiber optic,Yes,Mailed check,Yes,59.47,1121.97,No
CUST00151,Male,0,Yes,No,60,Month-to-month,Fiber optic,Yes,Mailed check,Yes,80.47,4784.71,No
CUST00152,Male,0,Yes,Yes,36,Two year,DSL,Yes,Mailed check,Yes,64.79,2263.34,No
CUST00153,Male,1,No,No,53,One year,No,Yes,Mailed check,Yes,31.74,1686.94,No
CUST00154,Male,0,No,No,64,Month-to-month,No,Yes,Mailed check,Yes,27.79,1660.56,No
CUST00155,Male,1,Yes,No,13,Month-to-month,Fiber optic,Yes,Electronic check,No,94.71,1174.57,Yes
CUST00156,Female,0,No,No,4,Month-to-month,Fiber optic,No,Credit card,Yes,68.8,214.45,Yes
CUST00157,Male,0,Yes,No,61,Month-to-month,DSL,Yes,Mailed check,Yes,50.84,3081.83,No
CUST00158,Female,0,Yes,No,0,Month-to-month,Fiber optic,Yes,Mailed check,No,90.47,159.41,Yes
CUST00159,Male,0,No,No,62,Month-to-month,Fiber optic,No,Electronic check,Yes,97.45,6175.04,No
CUST00160,Female,0,Yes,No,66,Month-to-month,No,Yes,Bank transfer,No,29.98,1853.77,No
CUST00161,Male,0,No,Yes,19,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,92.01,1750.09,Yes
CUST00162,Male,0,Yes,No,42,Month-to-month,Fiber optic,Yes,Mailed check,Yes,94.91,3931.06,Yes
CUST00163,Female,0,No,Yes,41,Month-to-month,DSL,No,Credit card,No,68.78,2840.83,No
CUST00164,Female,1,No,Yes,68,One year,DSL,Yes,Mailed check,Yes,78.17,5199.52,No
CUST00165,Female,0,No,No,38,One year,DSL,Yes,Credit card,No,75.21,3021.84,No
CUST00166,Male,1,No,No,61,Month-to-month,Fiber optic,Yes,Credit card,Yes,63.18,3845.93,No
CUST00167,Female,0,Yes,Yes,47,Month-to-month,DSL,Yes,Bank transfer,Yes,70.51,3261.2,No
CUST00168,Male,0,No,No,5,Month-to-month,No,Yes,Bank transfer,Yes,18.0,29.38,Yes
CUST00169,Male,0,Yes,No,41,One year,No,Yes,Electronic check,No,21.19,881.96,No
CUST00170,Female,0,No,Yes,57,One year,Fiber optic,Yes,Credit card,No,75.29,4215.41,No
CUST00171,Female,0,No,No,42,Month-to-month,No,Yes,Credit card,No,39.21,1595.25,No
CUST00172,Male,0,No,No,9,Two year,DSL,Yes,Mailed check,No,73.82,696.32,No
CUST00173,Male,0,No,No,38,Month-to-month,No,Yes,Electronic check,Yes,39.48,1400.82,Yes
CUST00174,Female,0,Yes,No,12,One year,No,No,Credit card,No,22.83,287.2,No
CUST00175,Female,0,No,No,38,Month-to-month,DSL,Yes,Electronic check,Yes,77.05,2965.3,No
CUST00176,Female,0,Yes,No,10,Month-to-month,No,Yes,Mailed check,Yes,21.04,88.46,Yes
CUST00177,Male,0,No,No,15,Month-to-month,DSL,Yes,Electronic check,Yes,39.92,607.82,Yes
CUST00178,Male,0,Yes,No,32,One year,DSL,Yes,Credit card,No,62.9,2018.71,No
CUST00179,Male,0,No,No,59,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,93.41,5580.19,No
CUST00180,Male,0,Yes,No,58,One year,No,Yes,Electronic check,No,18.0,1014.92,No
CUST00181,Male,0,No,Yes,50,One year,Fiber optic,Yes,Electronic check,Yes,48.92,2362.62,No
CUST00182,Male,0,Yes,Yes,14,Month-to-month,Fiber optic,Yes,Electronic check,No,69.68,881.45,No
CUST00183,Female,0,No,No,42,One year,DSL,No,Bank transfer,No,56.29,2252.38,No
CUST00184,Male,0,Yes,No,26,Month-to-month,DSL,Yes,Electronic check,Yes,60.99,1578.62,No
CUST00185,Male,0,No,Yes,55,Month-to-month,No,Yes,Electronic check,Yes,18.0,915.84,No
CUST00186,Male,0,Yes,No,59,One year,Fiber optic,Yes,Credit card,Yes,80.18,4815.3,No
CUST00187,Female,1,No,Yes,69,One year,DSL,Yes,Electronic check,Yes,62.99,4352.17,No
CUST00188,Male,0,Yes,Yes,46,Month-to-month,DSL,Yes,Bank transfer,Yes,58.21,2705.51,No
CUST00189,Male,0,No,Yes,7,Month-to-month,DSL,Yes,Mailed check,No,70.19,498.99,Yes
CUST00190,Female,0,Yes,No,62,Month-to-month,Fiber optic,Yes,Electronic check,Yes,72.61,4486.68,No
CUST00191,Male,0,No,No,6,Month-to-month,Fiber optic,Yes,Mailed check,Yes,91.44,649.89,Yes
CUST00192,Male,0,Yes,Yes,1,Two year,Fiber optic,Yes,Mailed check,Yes,97.57,0.0,No
CUST00193,Male,0,Yes,No,16,Month-to-month,DSL,Yes,Mailed check,Yes,51.32,818.72,No
CUST00194,Male,0,No,Yes,3,Two year,DSL,Yes,Electronic check,Yes,71.49,95.17,No
CUST00195,Male,0,Yes,No,25,Two year,DSL,Yes,Electronic check,No,64.22,1458.04,No
CUST00196,Female,0,Yes,Yes,71,Month-to-month,No,Yes,Mailed check,No,31.53,2128.1,No
CUST00197,Female,0,No,No,68,Month-to-month,Fiber optic,Yes,Electronic check,No,78.6,5497.0,No
CUST00198,Female,1,No,No,4,Two year,DSL,Yes,Electronic check,Yes,82.25,295.41,Yes
CUST00199,Male,0,No,No,4,Month-to-month,DSL,Yes,Mailed check,No,53.37,220.69,Yes
CUST00200,Male,1,Yes,Yes,68,Month-to-month,Fiber optic,No,Mailed check,No,90.05,6244.04,No
CUST00201,Male,0,Yes,Yes,2,Month-to-month,Fiber optic,Yes,Bank transfer,No,101.39,114.33,Yes
CUST00202,Female,1,No,No,37,Month-to-month,DSL,Yes,Mailed check,No,66.31,2435.35,No
CUST00203,Male,1,Yes,No,0,Month-to-month,Fiber optic,Yes,Electronic check,Yes,89.6,0.0,Yes
CUST00204,Male,0,No,No,7,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,102.63,787.78,No
CUST00205,Female,0,Yes,No,12,One year,Fiber optic,Yes,Mailed check,Yes,79.33,1051.39,Yes
CUST00206,Male,0,No,No,69,Two year,No,Yes,Electronic check,Yes,34.94,2324.02,No
CUST00207,Female,0,No,No,49,Month-to-month,DSL,Yes,Electronic check,Yes,82.45,3975.06,No
CUST00208,Female,0,No,No,7,Month-to-month,No,Yes,Bank transfer,No,35.43,345.57,Yes
CUST00209,Female,0,Yes,Yes,29,Month-to-month,Fiber optic,Yes,Bank transfer,No,56.19,1567.73,Yes
CUST00210,Male,0,No,No,39,Month-to-month,DSL,Yes,Credit card,Yes,55.2,2131.35,No
CUST00211,Male,0,Yes,No,32,One year,No,No,Bank transfer,Yes,20.62,618.66,No
CUST00212,Male,1,No,No,72,One year,Fiber optic,Yes,Credit card,No,55.74,4093.47,No
CUST00213,Male,0,No,Yes,51,Month-to-month,No,Yes,Electronic check,Yes,28.52,1478.24,Yes
CUST00214,Male,0,Yes,No,32,One year,DSL,Yes,Mailed check,No,62.77,1847.25,No
CUST00215,Male,0,Yes,No,72,One year,Fiber optic,Yes,Electronic check,Yes,77.84,5518.45,No
CUST00216,Male,1,No,No,36,Month-to-month,No,Yes,Mailed check,No,21.51,737.4,No
CUST00217,Female,0,Yes,Yes,69,One year,DSL,Yes,Electronic check,No,48.12,3307.94,No
CUST00218,Male,0,No,No,68,Month-to-month,Fiber optic,Yes,Credit card,Yes,61.27,4278.28,No
CUST00219,Female,0,Yes,Yes,3,One year,Fiber optic,Yes,Bank transfer,No,83.33,273.59,No
CUST00220,Male,0,Yes,No,59,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,54.95,3218.6,No
CUST00221,Male,0,No,No,30,Month-to-month,No,Yes,Bank transfer,Yes,21.48,670.92,No
CUST00222,Male,1,No,No,13,Two year,Fiber optic,Yes,Bank transfer,No,60.24,775.22,No
CUST00223,Female,0,Yes,No,59,One year,DSL,Yes,Electronic check,No,56.69,3289.66,No
CUST00224,Female,0,No,No,67,One year,Fiber optic,Yes,Bank transfer,No,92.7,6138.1,No
CUST00225,Female,1,No,No,25,Month-to-month,Fiber optic,Yes,Electronic check,Yes,77.74,1914.63,Yes
CUST00226,Female,0,No,Yes,23,One year,DSL,Yes,Electronic check,Yes,84.1,1839.22,No
CUST00227,Male,0,Yes,No,55,Month-to-month,Fiber optic,No,Electronic check,Yes,77.7,4282.01,No
CUST00228,Female,1,Yes,No,8,Two year,DSL,Yes,Credit card,Yes,83.17,752.54,Yes
CUST00229,Male,0,No,Yes,34,One year,DSL,Yes,Credit card,No,60.7,2112.06,No
CUST00230,Male,0,No,No,23,Month-to-month,DSL,Yes,Credit card,Yes,69.29,1654.66,Yes
CUST00231,Female,0,Yes,Yes,30,Month-to-month,Fiber optic,Yes,Credit card,Yes,72.14,2095.94,No
CUST00232,Female,0,No,Yes,65,Two year,Fiber optic,Yes,Bank transfer,No,82.12,5232.74,No
CUST00233,Female,0,Yes,No,65,One year,Fiber optic,Yes,Credit card,Yes,55.32,3662.63,No
CUST00234,Female,0,Yes,No,40,Two year,Fiber optic,Yes,Electronic check,Yes,93.27,3753.96,No
CUST00235,Female,0,No,No,35,Month-to-month,DSL,Yes,Mailed check,No,78.18,2717.44,No
CUST00236,Female,1,No,No,33,One year,Fiber optic,Yes,Mailed check,No,93.26,3128.09,Yes
CUST00237,Female,0,Yes,No,38,One year,DSL,Yes,Electronic check,Yes,51.62,1938.85,No
CUST00238,Female,1,No,Yes,22,One year,Fiber optic,Yes,Credit card,No,62.18,1497.51,Yes
CUST00239,Male,0,No,Yes,43,One year,DSL,Yes,Electronic check,No,69.02,3018.83,Yes
CUST00240,Female,0,No,No,69,Month-to-month,Fiber optic,No,Credit card,Yes,65.77,4535.48,No
CUST00241,Female,0,No,No,57,Month-to-month,Fiber optic,Yes,Credit card,No,90.31,5026.33,No
CUST00242,Male,0,Yes,No,58,Month-to-month,DSL,Yes,Mailed check,No,61.11,3500.55,No
CUST00243,Female,0,Yes,No,25,Month-to-month,DSL,Yes,Electronic check,Yes,72.31,1905.73,No
CUST00244,Male,1,Yes,Yes,21,Month-to-month,Fiber optic,Yes,Mailed check,Yes,76.03,1647.05,No
CUST00245,Male,0,No,No,39,Month-to-month,Fiber optic,Yes,Electronic check,Yes,56.81,2346.56,No
CUST00246,Female,0,No,No,10,Month-to-month,No,Yes,Electronic check,Yes,29.83,224.38,Yes
CUST00247,Male,0,Yes,No,8,Month-to-month,DSL,No,Bank transfer,Yes,51.52,271.24,No
CUST00248,Male,0,Yes,Yes,11,One year,No,Yes,Mailed check,Yes,24.32,338.7,No
CUST00249,Male,0,Yes,No,25,Month-to-month,DSL,Yes,Electronic check,Yes,53.64,1408.62,No
CUST00250,Male,0,Yes,Yes,37,Month-to-month,DSL,Yes,Electronic check,No,75.82,2813.09,No
CUST00251,Female,0,No,No,2,One year,DSL,Yes,Credit card,No,73.67,225.31,No
CUST00252,Male,0,No,Yes,14,Month-to-month,DSL,Yes,Bank transfer,No,51.49,837.92,No
CUST00253,Female,0,Yes,No,46,One year,Fiber optic,Yes,Credit card,Yes,90.77,4152.02,No
CUST00254,Male,0,No,No,4,Month-to-month,DSL,Yes,Electronic check,Yes,83.49,445.89,Yes
CUST00255,Male,0,No,No,53,Two year,Fiber optic,Yes,Electronic check,No,70.24,3585.75,No
CUST00256,Male,1,No,No,23,Month-to-month,DSL,Yes,Bank transfer,Yes,56.13,1298.75,No
CUST00257,Male,0,Yes,Yes,10,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,94.84,953.16,No
CUST00258,Female,0,Yes,No,32,Month-to-month,No,Yes,Electronic check,No,29.6,972.6,No
CUST00259,Female,0,Yes,No,56,Month-to-month,Fiber optic,Yes,Credit card,Yes,67.64,3849.31,No
